edit_decision_id	article_id	round	editor_id	decision	date_decided
458	348	1	10	4	2012-07-29 23:23:03
459	360	1	6	1	2012-07-30 11:09:32
460	328	1	10	1	2012-07-31 23:32:02
461	355	1	10	4	2012-08-06 04:30:11
462	361	1	10	4	2012-08-06 04:44:55
463	259	1	77	2	2012-08-09 15:41:03
464	276	2	77	2	2012-08-10 22:31:24
465	363	1	6	1	2012-08-12 20:29:40
466	269	1	77	2	2012-08-15 22:28:04
467	340	1	10	4	2012-08-16 21:15:22
468	269	1	77	1	2012-08-19 18:14:56
469	309	1	10	1	2012-08-20 02:55:03
470	350	1	10	4	2012-08-23 03:37:35
471	334	1	77	3	2012-08-23 12:31:51
472	259	1	77	1	2012-08-25 09:13:21
473	255	2	77	3	2012-08-28 09:25:28
474	368	1	10	4	2012-08-29 03:54:03
475	364	1	10	4	2012-08-29 04:05:00
476	255	3	77	1	2012-09-02 21:25:37
477	315	1	77	2	2012-09-02 21:29:41
478	262	1	77	3	2012-09-04 11:13:39
480	329	1	10	4	2012-09-13 03:47:41
481	275	1	10	1	2012-09-13 19:08:22
482	258	1	77	2	2012-09-14 20:27:47
483	380	1	6	1	2012-09-17 10:24:09
484	380	1	6	2	2012-09-17 11:04:25
485	318	1	10	4	2012-09-18 16:19:47
486	306	1	10	1	2012-09-18 18:54:34
487	262	2	77	1	2012-09-19 15:37:50
488	375	1	10	4	2012-09-22 23:20:17
489	378	1	10	4	2012-09-22 23:24:58
490	190	1	10	2	2012-09-24 20:25:06
491	311	1	10	2	2012-09-24 20:26:04
492	379	1	10	4	2012-09-26 18:54:44
493	383	1	10	4	2012-09-26 19:59:35
494	384	1	10	4	2012-09-28 01:19:26
495	258	1	77	3	2012-09-29 00:31:11
496	276	2	77	1	2012-10-01 17:15:42
497	258	2	77	1	2012-10-02 20:29:12
498	388	1	10	4	2012-10-03 17:49:12
499	365	1	10	4	2012-10-05 21:56:24
500	367	1	10	4	2012-10-05 21:57:19
501	376	1	10	4	2012-10-05 21:58:13
502	359	1	10	2	2012-10-07 18:20:51
